,delay,bias
0,218.40172786177106,0.9
1,73.40172786177106,0.9
2,71.40172786177106,0.9
3,41.401727861771064,0.9
4,91.40172786177106,0.9
5,86.40172786177106,0.9
6,57.401727861771064,0.9
7,55.401727861771064,0.9
8,377.40172786177106,0.9
9,369.40172786177106,0.9
10,321.40172786177106,0.9
11,296.40172786177106,0.9
12,219.40172786177106,0.9
13,124.40172786177106,0.9
14,125.40172786177106,0.9
15,257.40172786177106,0.9
16,206.40172786177106,0.9
17,154.40172786177106,0.9
18,86.40172786177106,0.9
19,70.40172786177106,0.9
20,238.40172786177106,0.9
21,209.40172786177106,0.9
22,110.40172786177106,0.9
23,79.40172786177106,0.9
24,25.40172786177106,0.9
25,26.40172786177106,0.9
26,763.4017278617711,0.9
27,415.40172786177106,0.9
28,324.40172786177106,0.9
29,325.40172786177106,0.9
30,178.40172786177106,0.9
31,109.40172786177106,0.9
32,105.40172786177106,0.9
33,73.40172786177106,0.9
34,25.40172786177106,0.9
35,398.40172786177106,0.9
36,298.40172786177106,0.9
37,246.40172786177106,0.9
38,245.40172786177106,0.9
39,146.40172786177106,0.9
40,83.40172786177106,0.9
41,78.40172786177106,0.9
42,117.40172786177106,0.9
43,105.40172786177106,0.9
44,84.40172786177106,0.9
45,59.401727861771064,0.9
46,39.401727861771064,0.9
47,265.40172786177106,0.9
48,259.40172786177106,0.9
49,240.40172786177106,0.9
50,73.40172786177106,0.9
51,160.40172786177106,0.9
52,22.40172786177106,0.9
53,28.40172786177106,0.9
54,104.40172786177106,0.9
55,32.401727861771064,0.9
56,70.40172786177106,0.9
57,31.40172786177106,0.9
58,53.401727861771064,0.9
59,86.40172786177106,0.9
60,84.40172786177106,0.9
