,delay,bias
0,23.40172786177106,0.9
1,28.40172786177106,0.9
2,101.40172786177106,0.9
3,86.40172786177106,0.9
4,75.40172786177106,0.9
5,68.40172786177106,0.9
6,62.401727861771064,0.9
7,52.401727861771064,0.9
8,43.401727861771064,0.9
9,39.401727861771064,0.9
10,100.40172786177106,0.9
11,101.40172786177106,0.9
12,82.40172786177106,0.9
13,80.40172786177106,0.9
14,79.40172786177106,0.9
15,56.401727861771064,0.9
16,55.401727861771064,0.9
17,55.401727861771064,0.9
18,136.40172786177106,0.9
19,139.40172786177106,0.9
20,126.40172786177106,0.9
21,119.40172786177106,0.9
22,118.40172786177106,0.9
23,104.40172786177106,0.9
24,98.40172786177106,0.9
25,178.40172786177106,0.9
26,176.40172786177106,0.9
27,163.40172786177106,0.9
28,161.40172786177106,0.9
29,154.40172786177106,0.9
30,154.40172786177106,0.9
31,139.40172786177106,0.9
32,221.40172786177106,0.9
33,214.40172786177106,0.9
34,214.40172786177106,0.9
35,213.40172786177106,0.9
36,213.40172786177106,0.9
37,213.40172786177106,0.9
38,214.40172786177106,0.9
39,296.40172786177106,0.9
40,285.40172786177106,0.9
41,272.40172786177106,0.9
42,270.40172786177106,0.9
43,272.40172786177106,0.9
44,269.40172786177106,0.9
45,263.40172786177106,0.9
46,341.40172786177106,0.9
47,338.40172786177106,0.9
48,338.40172786177106,0.9
49,332.40172786177106,0.9
50,332.40172786177106,0.9
51,333.40172786177106,0.9
52,320.40172786177106,0.9
53,386.40172786177106,0.9
54,377.40172786177106,0.9
55,375.40172786177106,0.9
56,373.40172786177106,0.9
57,364.40172786177106,0.9
58,359.40172786177106,0.9
59,360.40172786177106,0.9
60,444.40172786177106,0.9
61,432.40172786177106,0.9
62,440.40172786177106,0.9
63,433.40172786177106,0.9
64,434.40172786177106,0.9
65,434.40172786177106,0.9
66,515.4017278617711,0.9
67,422.40172786177106,0.9
68,502.40172786177106,0.9
69,476.40172786177106,0.9
70,473.40172786177106,0.9
71,469.40172786177106,0.9
72,467.40172786177106,0.9
73,461.40172786177106,0.9
74,547.4017278617711,0.9
75,552.4017278617711,0.9
76,484.40172786177106,0.9
77,561.4017278617711,0.9
78,561.4017278617711,0.9
79,559.4017278617711,0.9
80,559.4017278617711,0.9
81,558.4017278617711,0.9
82,558.4017278617711,0.9
83,481.40172786177106,0.9
84,566.4017278617711,0.9
85,562.4017278617711,0.9
86,561.4017278617711,0.9
87,562.4017278617711,0.9
88,561.4017278617711,0.9
89,560.4017278617711,0.9
90,482.40172786177106,0.9
91,562.4017278617711,0.9
92,559.4017278617711,0.9
93,558.4017278617711,0.9
94,556.4017278617711,0.9
95,558.4017278617711,0.9
96,554.4017278617711,0.9
97,482.40172786177106,0.9
98,561.4017278617711,0.9
99,557.4017278617711,0.9
100,557.4017278617711,0.9
101,157.40172786177106,0.9
102,555.4017278617711,0.9
103,159.40172786177106,0.9
104,486.40172786177106,0.9
105,484.40172786177106,0.9
106,482.40172786177106,0.9
107,480.40172786177106,0.9
108,556.4017278617711,0.9
109,558.4017278617711,0.9
110,556.4017278617711,0.9
111,555.4017278617711,0.9
112,558.4017278617711,0.9
113,475.40172786177106,0.9
114,463.40172786177106,0.9
115,549.4017278617711,0.9
116,470.40172786177106,0.9
117,469.40172786177106,0.9
118,464.40172786177106,0.9
119,466.40172786177106,0.9
120,461.40172786177106,0.9
121,461.40172786177106,0.9
122,548.4017278617711,0.9
123,472.40172786177106,0.9
124,467.40172786177106,0.9
125,467.40172786177106,0.9
126,466.40172786177106,0.9
127,461.40172786177106,0.9
128,463.40172786177106,0.9
129,548.4017278617711,0.9
130,481.40172786177106,0.9
131,475.40172786177106,0.9
132,557.4017278617711,0.9
133,562.4017278617711,0.9
134,558.4017278617711,0.9
135,557.4017278617711,0.9
136,556.4017278617711,0.9
137,478.40172786177106,0.9
138,473.40172786177106,0.9
139,558.4017278617711,0.9
140,556.4017278617711,0.9
141,557.4017278617711,0.9
142,555.4017278617711,0.9
143,560.4017278617711,0.9
144,557.4017278617711,0.9
145,482.40172786177106,0.9
146,560.4017278617711,0.9
147,562.4017278617711,0.9
148,561.4017278617711,0.9
149,562.4017278617711,0.9
150,561.4017278617711,0.9
151,565.4017278617711,0.9
152,482.40172786177106,0.9
153,559.4017278617711,0.9
154,564.4017278617711,0.9
155,562.4017278617711,0.9
156,160.40172786177106,0.9
157,153.40172786177106,0.9
158,563.4017278617711,0.9
159,489.40172786177106,0.9
160,571.4017278617711,0.9
161,567.4017278617711,0.9
162,564.4017278617711,0.9
163,561.4017278617711,0.9
164,561.4017278617711,0.9
165,560.4017278617711,0.9
166,559.4017278617711,0.9
167,647.4017278617711,0.9
168,571.4017278617711,0.9
169,555.4017278617711,0.9
170,558.4017278617711,0.9
171,476.40172786177106,0.9
172,477.40172786177106,0.9
173,469.40172786177106,0.9
174,553.4017278617711,0.9
175,557.4017278617711,0.9
176,561.4017278617711,0.9
177,560.4017278617711,0.9
178,574.4017278617711,0.9
179,563.4017278617711,0.9
180,565.4017278617711,0.9
181,564.4017278617711,0.9
182,564.4017278617711,0.9
183,563.4017278617711,0.9
184,154.40172786177106,0.9
185,482.40172786177106,0.9
186,568.4017278617711,0.9
187,567.4017278617711,0.9
188,564.4017278617711,0.9
189,560.4017278617711,0.9
190,559.4017278617711,0.9
191,558.4017278617711,0.9
192,557.4017278617711,0.9
193,567.4017278617711,0.9
