,delay,bias
0,23.40172786177106,0.75
1,28.40172786177106,0.75
2,101.40172786177106,0.75
3,86.40172786177106,0.75
4,75.40172786177106,0.75
5,68.40172786177106,0.75
6,61.401727861771064,0.75
7,52.401727861771064,0.75
8,44.401727861771064,0.75
9,39.401727861771064,0.75
10,100.40172786177106,0.75
11,80.40172786177106,0.75
12,78.40172786177106,0.75
13,77.40172786177106,0.75
14,53.401727861771064,0.75
15,53.401727861771064,0.75
16,53.401727861771064,0.75
17,137.40172786177106,0.75
18,123.40172786177106,0.75
19,118.40172786177106,0.75
20,117.40172786177106,0.75
21,102.40172786177106,0.75
22,96.40172786177106,0.75
23,91.40172786177106,0.75
24,173.40172786177106,0.75
25,160.40172786177106,0.75
26,158.40172786177106,0.75
27,152.40172786177106,0.75
28,136.40172786177106,0.75
29,131.40172786177106,0.75
30,125.40172786177106,0.75
31,209.40172786177106,0.75
32,209.40172786177106,0.75
33,209.40172786177106,0.75
34,209.40172786177106,0.75
35,210.40172786177106,0.75
36,206.40172786177106,0.75
37,194.40172786177106,0.75
38,268.40172786177106,0.75
39,267.40172786177106,0.75
40,269.40172786177106,0.75
41,266.40172786177106,0.75
42,260.40172786177106,0.75
43,252.40172786177106,0.75
44,248.40172786177106,0.75
45,326.40172786177106,0.75
46,326.40172786177106,0.75
47,327.40172786177106,0.75
48,315.40172786177106,0.75
49,295.40172786177106,0.75
50,286.40172786177106,0.75
51,267.40172786177106,0.75
52,348.40172786177106,0.75
53,349.40172786177106,0.75
54,335.40172786177106,0.75
55,342.40172786177106,0.75
56,334.40172786177106,0.75
57,336.40172786177106,0.75
58,326.40172786177106,0.75
59,325.40172786177106,0.75
60,400.40172786177106,0.75
61,402.40172786177106,0.75
62,401.40172786177106,0.75
63,398.40172786177106,0.75
64,389.40172786177106,0.75
65,386.40172786177106,0.75
66,385.40172786177106,0.75
67,471.40172786177106,0.75
68,468.40172786177106,0.75
69,467.40172786177106,0.75
70,464.40172786177106,0.75
71,464.40172786177106,0.75
72,463.40172786177106,0.75
73,467.40172786177106,0.75
74,534.4017278617711,0.75
75,472.40172786177106,0.75
